target_idx,target_seed,repeat,repeat_seed,algorithm,fidelity,gate_count
15,57,0,57000,EA,0.48914737410523074,5
15,57,0,57000,SA,0.4610980676677391,5
15,57,1,57001,EA,0.5198403344135617,6
15,57,1,57001,SA,0.47420301301387635,7
15,57,2,57002,EA,0.5377523876162524,5
15,57,2,57002,SA,0.26222387509034345,5
15,57,3,57003,EA,0.4875495960307007,4
15,57,3,57003,SA,0.30439331067606074,3
15,57,4,57004,EA,0.5078009710430827,5
15,57,4,57004,SA,0.41865026056297505,15
15,57,5,57005,EA,0.5070655507794184,5
15,57,5,57005,SA,0.4089626587861709,9
15,57,6,57006,EA,0.5486982264896728,6
15,57,6,57006,SA,0.4238389700114628,3
15,57,7,57007,EA,0.4655699903822853,3
15,57,7,57007,SA,0.21760639936900353,6
16,58,0,58000,EA,0.3444680898592733,3
16,58,0,58000,SA,0.3851486658805762,7
16,58,1,58001,EA,0.3436194891680185,3
16,58,1,58001,SA,0.28260327727127715,3
16,58,2,58002,EA,0.43123092114442435,6
16,58,2,58002,SA,0.3096599522513694,4
16,58,3,58003,EA,0.4077138983586926,5
16,58,3,58003,SA,0.32439378855675627,7
16,58,4,58004,EA,0.37082462945323114,4
16,58,4,58004,SA,0.3351880148834084,4
16,58,5,58005,EA,0.36992034961555553,6
16,58,5,58005,SA,0.27602127898144657,2
16,58,6,58006,EA,0.4883023234021435,6
16,58,6,58006,SA,0.22851700978483425,4
16,58,7,58007,EA,0.34850183188649864,3
16,58,7,58007,SA,0.27602127898144646,5
17,59,0,59000,EA,0.31473513730915753,5
17,59,0,59000,SA,0.274280394116332,9
17,59,1,59001,EA,0.27252650164302583,4
17,59,1,59001,SA,0.2254840400917527,4
17,59,2,59002,EA,0.3083004486647918,5
17,59,2,59002,SA,0.25374800833549327,4
17,59,3,59003,EA,0.3159022992651537,5
17,59,3,59003,SA,0.31002591833071574,10
17,59,4,59004,EA,0.309248975856063,5
17,59,4,59004,SA,0.27234500504028253,6
17,59,5,59005,EA,0.29660577104575453,4
17,59,5,59005,SA,0.27322681207663746,6
